id,product,company_id,modelname,model_number,category
1,mDesign Toilet Bowl Brush,1,"mDesign Compact Freestanding Plastic Toilet Bowl Brush and Holder for Bathroom Storage and Organization - Space Saving, Sturdy, Deep Cleaning, Covered Brush - Black",B01LXFKJ8T,Consumer Goods
2,Mecraft Coffee Dripper,2,Mecraft Ceramic Coffee Dripper/ Pour Over for 1-4 cups,B01L2C82O0,Consumer Goods
3,Jachi Garlic Press,3,Jachi Garlic Press Crusher and Mincer Professional,B07LG1SC6Y,Consumer Goods
4,Jaciya scrunchies,4,Jaciya 18 Pack Scrunchies,B07KY5S3TS,Consumer Goods
5,Hiware  Steel Straws,5,12-pack Stainless Straws,B07D34ZNMH,Consumer Goods
6,OMIRO Hand Mirror,6,Hand Mirror Extra Large,B07VPPCGL6,Consumer Goods
7,Jolitac Lemon Squeezer,7,Lemon Squeezer Heavy Duty Manual ,B07TVGWJ4Q,Consumer Goods
8,MATEIN 15 ANDROID CHARGING CABLE,8,15  MATEIN Android/Xbox/PS4,B06XZTK2JL,Consumer Goods
9,Trader Joes Crunchy Almond Butter,9,16 oz.,B00NEUKRWO,Consumer Goods
10,Certain Dri Antiperspirant deodorant,10,1.7 ounce,B07FWWPJVZ,Consumer Goods
11,Daily Ritual Women's Stretch Supima Long-Sleeve Dress,11,Stretch Supima Long-sleeve dress, AZ063,Consumer Goods
12,Amazon Brand Daily Ritual Women's Jersey 3/4-Sleeve V-Neck T-Shirt Dress,11,Jersey 3/4 sleeve v-neck,DRSB1004,Consumer Goods
13,Plus White 5 Minute Whitening Kit,12,3.5 ounces,76299,Consumer Goods
14,Ziploc Space Bag Vacuum Seal Bags,13,14 Bag Variety Pack,AX-AY-ABHI-90731,Consumer Goods
15,Wireless mouse,14,2.4G Optical mouse,EM-510A,Consumer Goods
16,Reading Pillow,15,Shredded Foam with velour cover,LZ26SVSFRP,Consumer Goods
17,Laptop table,16,100% Bamboo Adjustable Lapdesk,BWZ-ZS71L,Consumer Goods
18,Organic Methi (Fenugreek seeds),17,7-oz USDA Organic,N/A,Consumer Goods
19,MSM Powder,18, 8oz. bottle,Lot# 311072,Consumer Goods
20,AmazonBasics Fade Resistant Cotton Towel Set,19,"6-Piece Set, Black",ABFR- 6 Pc Set,Consumer Goods
21,Andis Quiet Wall Mounted Hair Dryer,20,"1600-Watt, Black, With LED Light",30765,Consumer Goods
22,Tom Clancys The Division,21,The Division 1,The Division 1,Consumer Goods
23,Serta Perfect Sleeper Standard/Queen Bed Pillows,22,"Standard/Queen, 300 Thread Count",SER7442,Consumer Goods
24,Calpak 20-Inch Carry-On Lightweight Expandable Hardsided Upright Suitcase,23,"Silverlake, Purple",LSV1020,Consumer Goods
25,Accuteck Digital Postal Scale with AC Adapter,24,"Silver, Original Version",W-8250-50BS,Consumer Goods
26,Etekcity Digital Hanging Luggage Scale,25,110 lb Capacity,EL11,Consumer Goods
27,ORE International 5 Arm Arch Floor Lamp,26,Brass Finish,6962BK,Consumer Goods
28,"Technivorm Moccamaster 59462 KBG Coffee Brewer, 40 oz, Black",27,Moccamaster,"	B076X55LWY",Consumer Goods
29,"heerwing Syma X5SW-V3 WiFi FPV Drone 2.4Ghz 4CH 6-Axis Gyro RC Quadcopter Drone with Camera, White",28,Syma X5SW-V3,X5SW-V3,Consumer Goods
30,"Uitee Sport Watch Band Compatible with Apple Watch 38mm 40mm 42mm 44mm, Soft Silicone Bands Replacement Strap Compatible with Apple Watch Series 4/3/2/1 S/M M/L",29," 38MM/40MM S/M, 38MM/40MM M/L ",ASIN: B07SB5DPJH,Consumer Goods
31,Men's DNA Necktie - DNA Necktie - DNA Tie - Biology Necktie - Scientist Necktie - Science Gift for Men - Geneticist Gift,30,9.9 x 2.4 x 1.2 inches,ASIN: B07TYYV86H,Consumer Goods
32,Astronomy Necktie - Astronomer Necktie - Astrology Necktie - Stargazing Gift - Astrology Gift - Telescope Gift - Stargazer Gift for Men,31,15.2 x 3.2 x 1.8 inches,ASIN: B07TYYKH6K,Consumer Goods
33,Cat Necktie - Cat Neck Tie - Cats Necktie - Cats Tie - Cat Lover Gift - Veterinarian Necktie - Cat Lady Gift. ,32,14.3 x 3.1 x 0.8 inches,ASIN: B07TZ1VMC7,Consumer Goods
