id,product,compensation_id,product_id,reviewer_id,ratings,review_content,proof
1,mDesign Toilet Bowl Brush,0,1,1,5,I bought two of these bowl brushes and am happy with the quality and weight. My old bowl brushes cost me about 3 times as much and was way more flimsy and cheap feeling. This brush and it's holder are far better for way less money. The design fit my modern bathroom design.,
2,Mecraft Coffee Dripper,0,2,1,5,"I generally use a French press or a Keurig. However, for some variety I purchased this product. It looks sleek and the coffee is very good! I wish it was maybe a little bit larger but it can make 4 cups! ",
3,Jachi Garlic Press,0,3,1,5,The press is incredibly sturdy deposit the super low price point. I would say the build quality is heavy and durable. The same tool of lesser quality at Whole Foods is around $20,
4,Jaciya scrunchies,0,4,1,4,My boyfriend bought these for me and I liked them because the designs aren't as bad as some of the other scrunchies at this price point. Still not my favorite designs but they're kind of cute still. The most important thing is they are very light and the material helps because it is slick/soft.,
5,Hiware  Steel Straws,0,5,1,5,The variety of straws allows me to use a Green- Eco friendly straw for my varying sizes of liquid containers. Living in SF it is almost a requirement to use Steel or Paper - and I prefer metal. Solid build quality!,
6,OMIRO Hand Mirror,0,6,1,5,The mirror is much better than the low price would suggest. The large surface area allows me to easily line the back of my neck when shaving. Solid addition to shaving kit.,
7,Jolitac Lemon Squeezer,0,7,1,5,My favorite part about the squeezer is the chrome finish + the ease of which it dispatches juice out of lemons! The chrome finish feels sturdy like it will last.,
8,MATEIN 15 ANDROID CHARGING CABLE,0,8,1,5,The cable is so long I never have to worry about not being able to charge my cellphone reliably. I definitely use less batteries on my Xbox controller now! Tbt to battleries?! Right!?!!,
9,Trader Joes Crunchy Almond Butter,0,9,1,5,"This is the most delicious almond butter I have ever tasted.  There is something about the way that Trader Joes roasts the almonds, then lightly salts the butter.  I always buy the crunchy type.  Have enjoyed this almond butter for the past 3 years, repeat buy.",
10,Certain Dri Antiperspirant deodorant,0,10,1,5,"This is a very strong antiperspirant, as well as deodorant.  If you are like me, and have been forced to discard perfectly good items of clothing due to perspiration smell, this will help.  It helped me.  I apply it 2x/day as instructed, and it has saved my wardrobe.",
11,Daily Ritual Women's Stretch Supima Long-Sleeve Dress,0,11,1,5,"This dress can be dressed up or down.  For everyday wear such as running errands or working (at home in my case).  It is stretchy and soft, does not pull or bind.  If you wear this with a pretty pair of shoes and delightful earrings you will feel decorated and relaxed at the same time. ",
12,Amazon Brand Daily Ritual Women's Jersey 3/4-Sleeve V-Neck T-Shirt Dress,0,12,1,5,"This dress is chic!  And comfortable as well.  I wear it with a pair of white gladiator sandals and pretty earrings and feel dressed.  I can and do wear it everywhere, day or night.  It washes well, but I do not put it in the dryer.  Do not want it to fade or wear out too quickly.",
13,Plus White 5 Minute Whitening Kit,0,13,1,5,"This whitening kit is easy to use and the price is good.  It has not caused me any tooth sensitivity and my teeth are whiter.  Since I drink green tea and coffee every day, I need a whitening kit.  I also love the price!  Just have to be careful not to use it too often, since that might cause thinning of tooth enamel.  I follow directions on the box.",
14,Ziploc Space Bag Vacuum Seal Bags,0,14,1,1,"The only thing I like about this is the variety of sizes. What I dislike about this is that the bags don't stay compressed for very long (most of them started expanding after a day, which makes them useless for storage), they're flimsy (2 tore while being filled with bedding despite me being careful), and they don't even get as compressed/flat as advertised (despite not overfilling them). ",
15,Wireless mouse,0,15,1,5,"I was a bit skeptic because it was so cheap. However, it was worth every penny. It fits the contours of my hand perfectly, and it is sensitive enough that it doesn't irritate my arthritis. I like the side scroll feature that allows me to change windows, in addition, the scroll wheel that allows me to move up and down. I have had to change the batteries once a year.  I have tried to use a wired mouse once since I received this one. It felt so cumbersome and annoying, I drove back home at my first opportunity to pick up this one.",
